iter	Passed	Remaining
440	1330	1686
441	1333	1683
442	1336	1680
443	1338	1676
444	1341	1673
445	1344	1670
446	1347	1667
447	1350	1663
448	1353	1660
449	1356	1658
450	1359	1655
451	1362	1651
452	1365	1649
453	1369	1647
454	1372	1644
455	1376	1641
456	1379	1638
457	1382	1635
458	1385	1632
459	1387	1629
460	1390	1626
461	1394	1623
462	1398	1621
463	1400	1617
464	1403	1614
465	1406	1611
466	1409	1608
467	1412	1605
468	1414	1601
469	1417	1598
470	1419	1594
471	1422	1591
472	1425	1588
473	1427	1584
474	1430	1581
475	1433	1577
476	1436	1574
477	1439	1572
478	1442	1569
479	1445	1565
480	1448	1562
481	1451	1559
482	1454	1557
483	1457	1553
484	1460	1550
485	1462	1546
486	1465	1544
487	1469	1541
488	1472	1538
489	1474	1535
490	1477	1531
491	1480	1528
492	1483	1525
493	1485	1521
494	1488	1518
495	1491	1515
496	1495	1513
497	1499	1511
498	1501	1507
499	1504	1504
500	1507	1501
501	1509	1497
502	1512	1494
503	1515	1490
504	1517	1487
505	1520	1484
506	1522	1480
507	1526	1478
508	1529	1475
509	1532	1472
510	1534	1468
511	1538	1466
512	1541	1463
513	1544	1459
514	1546	1456
515	1548	1452
516	1551	1449
517	1553	1445
518	1557	1443
519	1560	1440
520	1562	1436
521	1565	1433
522	1569	1431
523	1571	1427
524	1574	1424
525	1577	1421
526	1579	1418
527	1582	1414
528	1586	1412
529	1589	1409
530	1592	1406
531	1594	1402
532	1597	1399
533	1600	1396
534	1603	1393
535	1605	1390
536	1608	1386
537	1611	1383
538	1614	1380
539	1616	1377
540	1619	1374
541	1623	1371
542	1626	1368
543	1630	1366
544	1633	1363
545	1636	1360
546	1639	1357
547	1642	1354
548	1644	1351
549	1647	1347
550	1650	1344
551	1652	1341
552	1655	1337
553	1657	1334
554	1660	1331
555	1662	1327
556	1665	1324
557	1670	1323
558	1673	1319
559	1675	1316
560	1678	1313
561	1680	1309
562	1683	1306
563	1686	1303
564	1690	1301
565	1692	1298
566	1696	1295
567	1699	1292
568	1701	1289
569	1704	1285
570	1706	1282
571	1709	1278
572	1711	1275
573	1714	1272
574	1717	1269
575	1719	1265
576	1721	1262
577	1725	1259
578	1727	1256
579	1730	1253
580	1733	1250
581	1735	1246
582	1738	1243
583	1741	1240
584	1744	1237
585	1747	1234
586	1749	1231
587	1752	1227
588	1755	1224
589	1757	1221
590	1760	1218
591	1763	1215
592	1765	1211
593	1768	1208
594	1770	1205
595	1773	1202
596	1775	1198
597	1778	1195
598	1781	1192
599	1784	1189
600	1787	1186
601	1789	1183
602	1792	1180
603	1794	1176
604	1798	1173
605	1800	1170
606	1803	1167
607	1805	1164
608	1808	1160
609	1810	1157
610	1813	1154
611	1816	1151
612	1819	1148
613	1822	1145
614	1824	1142
615	1827	1139
616	1830	1136
617	1833	1133
618	1836	1130
619	1839	1127
620	1842	1124
621	1845	1121
622	1847	1118
623	1850	1114
624	1853	1112
625	1856	1109
626	1858	1105
627	1861	1102
628	1864	1099
629	1867	1096
630	1870	1093
631	1872	1090
632	1874	1087
633	1877	1084
634	1880	1081
635	1883	1077
636	1886	1074
637	1888	1071
638	1891	1068
639	1893	1065
640	1895	1061
641	1898	1058
642	1901	1055
643	1903	1052
644	1906	1049
645	1909	1046
646	1912	1043
647	1914	1040
648	1917	1036
649	1919	1033
650	1922	1030
651	1925	1027
652	1928	1024
653	1930	1021
654	1933	1018
655	1935	1014
656	1938	1011
657	1940	1008
658	1943	1005
659	1945	1002
660	1948	999
661	1950	995
662	1953	992
663	1955	989
664	1958	986
665	1961	983
666	1963	980
667	1966	977
668	1968	974
669	1971	971
670	1975	968
671	1978	965
672	1980	962
673	1983	959
674	1986	956
675	1988	953
676	1991	950
677	1994	947
678	1996	943
679	1999	940
680	2001	937
681	2004	934
682	2006	931
683	2009	928
684	2011	925
685	2014	921
686	2016	918
687	2019	915
688	2021	912
689	2024	909
690	2027	906
691	2030	903
692	2032	900
693	2035	897
694	2037	894
695	2040	891
696	2042	888
697	2045	884
698	2047	881
699	2050	878
700	2052	875
701	2056	872
702	2059	869
703	2061	866
704	2064	863
705	2067	860
706	2070	857
707	2073	855
708	2075	851
709	2078	848
710	2080	845
711	2083	842
712	2086	839
713	2089	836
714	2091	833
715	2094	830
716	2096	827
717	2099	824
718	2101	821
719	2104	818
720	2107	815
721	2110	812
722	2113	809
723	2116	806
724	2119	803
725	2121	800
726	2124	797
727	2127	794
728	2130	791
729	2132	788
730	2135	785
731	2137	782
732	2141	779
733	2143	776
734	2146	773
735	2149	770
736	2152	767
737	2155	765
738	2158	762
739	2160	759
740	2163	756
741	2166	753
742	2168	750
743	2171	747
744	2174	744
745	2176	741
746	2179	738
747	2183	735
748	2186	732
749	2188	729
750	2191	726
751	2195	723
752	2198	721
753	2201	718
754	2204	715
755	2207	712
756	2210	709
757	2213	706
758	2216	703
759	2218	700
760	2221	697
761	2224	694
762	2228	692
763	2231	689
764	2234	686
765	2236	683
766	2239	680
767	2242	677
768	2245	674
769	2248	671
770	2251	668
771	2254	665
772	2259	663
773	2262	660
774	2265	657
775	2269	655
776	2272	652
777	2275	649
778	2278	646
779	2281	643
780	2284	640
781	2287	637
782	2290	634
783	2293	631
784	2296	628
785	2299	625
786	2301	622
787	2303	619
788	2306	616
789	2309	613
790	2312	611
791	2314	607
792	2318	605
793	2321	602
794	2323	599
795	2326	596
796	2329	593
797	2332	590
798	2335	587
799	2339	584
800	2341	581
801	2344	578
802	2346	575
803	2349	572
804	2353	569
805	2355	567
806	2358	564
807	2361	561
808	2364	558
809	2367	555
810	2370	552
811	2372	549
812	2375	546
813	2378	543
814	2381	540
815	2384	537
816	2387	534
817	2391	532
818	2395	529
819	2398	526
820	2400	523
821	2403	520
822	2406	517
823	2409	514
824	2412	511
825	2415	508
826	2417	505
827	2420	502
828	2423	499
829	2427	497
830	2430	494
831	2432	491
832	2435	488
833	2438	485
834	2441	482
835	2444	479
836	2447	476
837	2450	473
838	2453	470
839	2456	467
840	2458	464
841	2461	461
842	2463	458
843	2466	455
844	2470	453
845	2473	450
846	2475	447
847	2478	444
848	2480	441
849	2483	438
850	2486	435
851	2489	432
852	2491	429
853	2495	426
854	2497	423
855	2500	420
856	2503	417
857	2506	414
858	2509	411
859	2511	408
860	2514	405
861	2517	402
862	2519	399
863	2522	397
864	2526	394
865	2528	391
866	2531	388
867	2533	385
868	2536	382
869	2539	379
870	2543	376
871	2545	373
872	2548	370
873	2553	368
874	2557	365
875	2560	362
876	2562	359
877	2566	356
878	2569	353
879	2571	350
880	2574	347
881	2577	344
882	2580	341
883	2583	338
884	2585	336
885	2588	333
886	2591	330
887	2595	327
888	2598	324
889	2601	321
890	2603	318
891	2606	315
892	2609	312
893	2612	309
894	2615	306
895	2618	303
896	2621	301
897	2623	298
898	2626	295
899	2628	292
900	2632	289
901	2634	286
902	2639	283
903	2642	280
904	2644	277
905	2647	274
906	2650	271
907	2652	268
908	2655	265
909	2659	262
910	2661	260
911	2664	257
912	2667	254
913	2670	251
914	2673	248
915	2677	245
916	2680	242
917	2683	239
918	2685	236
919	2689	233
920	2691	230
921	2694	227
922	2697	225
923	2701	222
924	2704	219
925	2707	216
926	2710	213
927	2713	210
928	2715	207
929	2720	204
930	2722	201
931	2725	198
932	2728	195
933	2730	192
934	2733	190
935	2736	187
936	2739	184
937	2742	181
938	2745	178
939	2747	175
940	2750	172
941	2753	169
942	2755	166
943	2758	163
944	2761	160
945	2764	157
946	2767	154
947	2770	151
948	2774	149
949	2777	146
950	2780	143
951	2783	140
952	2786	137
953	2789	134
954	2792	131
955	2794	128
956	2797	125
957	2800	122
958	2804	119
959	2806	116
960	2809	114
961	2812	111
962	2815	108
963	2817	105
964	2820	102
965	2823	99
966	2825	96
967	2829	93
968	2832	90
969	2835	87
970	2839	84
971	2843	81
972	2846	78
973	2849	76
974	2853	73
975	2856	70
976	2859	67
977	2862	64
978	2864	61
979	2867	58
980	2870	55
981	2873	52
982	2876	49
983	2878	46
984	2881	43
985	2884	40
986	2886	38
987	2890	35
988	2893	32
989	2896	29
990	2899	26
991	2902	23
992	2904	20
993	2908	17
994	2911	14
995	2914	11
996	2916	8
997	2919	5
998	2922	2
999	2925	0
