iter	Logloss
0	0.6750709536
1	0.6640303316
2	0.6489027888
3	0.6358031436
4	0.6241525621
5	0.6079770524
6	0.5943430441
7	0.583393265
8	0.5695151848
9	0.5574950843
10	0.547933207
11	0.5350734473
12	0.5272960925
13	0.5193699581
14	0.5111672082
15	0.5038102754
16	0.4941932776
17	0.4839655657
18	0.4754442081
19	0.4682216423
20	0.4582773975
21	0.4523165681
22	0.4433138723
23	0.4345726439
24	0.4270163579
25	0.4227058461
26	0.4161272347
27	0.4086631367
28	0.4029622682
29	0.3975227537
30	0.3924141452
31	0.3884814644
32	0.382428234
33	0.3776710215
34	0.3725814954
35	0.3676861972
36	0.3651507058
37	0.35912084
38	0.3558066555
39	0.351762991
40	0.3490247123
41	0.3449867124
42	0.3396862625
43	0.33665758
44	0.3326964236
45	0.3289904833
46	0.3254888205
47	0.3219325492
48	0.3185307639
49	0.3147124951
50	0.3113740904
51	0.307689639
52	0.3045248608
53	0.3006836279
54	0.2976364455
55	0.2942038967
56	0.2909759299
57	0.288692122
58	0.2858628017
59	0.2839531404
60	0.2814058877
61	0.2796121024
62	0.2780577564
63	0.2758183361
64	0.2736631409
65	0.2714698509
66	0.2694784486
67	0.2672263537
68	0.2652558544
69	0.263060714
70	0.2609907253
71	0.2581563784
72	0.2566172723
73	0.2550175646
74	0.2530979651
75	0.2512609392
76	0.2484123024
77	0.2472072542
78	0.2457785384
79	0.2432130169
80	0.2414094068
81	0.2400774115
82	0.2384739172
83	0.2364326104
84	0.2343676854
85	0.2321846466
86	0.2307277036
87	0.2290939415
88	0.2275077406
89	0.2262893073
90	0.2247296989
91	0.223604708
92	0.2225774609
93	0.2208900394
94	0.2199479931
95	0.2181596208
96	0.2168621354
97	0.2156324973
98	0.2141053471
99	0.2128778397
100	0.2122527945
101	0.2112191128
102	0.2099711316
103	0.2089387982
104	0.207711042
105	0.2065482607
106	0.205649139
107	0.2046894501
108	0.2037999056
109	0.2028126535
110	0.2014658173
111	0.2004497704
112	0.1996771745
113	0.1984146697
114	0.197404399
115	0.1964804522
116	0.1955173623
117	0.1946013551
118	0.1936107431
119	0.1928261564
120	0.1917505033
121	0.1910141766
122	0.1902556998
123	0.189528958
124	0.1886716373
125	0.1880448181
126	0.1872501191
127	0.1862213807
128	0.1857025025
129	0.185105237
130	0.1843823118
131	0.1838522362
132	0.1832586498
133	0.1825882204
134	0.1818846943
135	0.1813627867
136	0.1809518795
137	0.1801434103
